index,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,native-country,Y
322,21,Private,132652,Some-college,10,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
11968,29,Private,132652,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,0
10868,19,Private,132652,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,0
3394,17,Private,132652,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,United-States,0
15993,47,Private,132652,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
12706,23,Private,132652,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,United-States,0
7809,44,State-gov,132652,Some-college,10,Divorced,Protective-serv,Unmarried,White,Male,United-States,0
12889,19,Private,132652,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,0
13121,41,Private,132652,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,0
15731,31,Private,132652,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
1931,19,?,132652,Some-college,10,Divorced,?,Own-child,White,Male,United-States,0
8554,23,Private,132652,HS-grad,9,Married-civ-spouse,Sales,Husband,Black,Male,United-States,1
6291,38,Private,132652,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,0
3013,17,Private,132652,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Female,United-States,0
4220,24,Private,132652,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,0
1417,29,Private,132652,Masters,14,Divorced,Tech-support,Not-in-family,Asian-Pac-Islander,Female,United-States,0
11916,50,Private,132652,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,United-States,0
13847,33,Private,132652,HS-grad,9,Separated,Sales,Unmarried,White,Male,United-States,0
3709,47,Private,24694,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
572,28,Private,132652,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
15452,37,Local-gov,132652,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,0
11535,50,Local-gov,132652,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
225,60,Federal-gov,132652,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,United-States,1
15823,19,Private,132652,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Female,United-States,0
9219,33,Private,132652,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,United-States,0
10303,17,Private,132652,12th,8,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,0
11843,19,Private,132652,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,0
12771,19,Private,132652,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,0
13169,34,Private,132652,12th,8,Married-civ-spouse,Other-service,Husband,White,Male,United-States,0
4544,25,State-gov,132652,Some-college,10,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
13520,41,Private,132652,Assoc-voc,11,Divorced,Exec-managerial,Unmarried,White,Female,United-States,0
2369,17,Private,132652,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
9817,17,Self-emp-inc,132652,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Female,United-States,0
13454,19,Self-emp-not-inc,132652,Some-college,10,Never-married,Exec-managerial,Own-child,White,Male,United-States,0
6285,36,Private,132652,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,United-States,0
1662,31,Private,132652,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,1
12158,43,Local-gov,132652,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,0
13652,32,Private,132652,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,United-States,0
15625,26,Self-emp-not-inc,132652,Assoc-acdm,12,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,1
6321,19,Private,132652,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,United-States,0
14545,23,Private,132652,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,0
12968,43,Private,132652,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,1
2308,20,?,132652,Some-college,10,Never-married,?,Own-child,White,Female,United-States,0
9579,36,Private,132652,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,United-States,1
7285,30,Private,132652,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,United-States,0
15672,24,Self-emp-not-inc,132652,Bachelors,13,Never-married,Other-service,Other-relative,White,Male,United-States,0
14090,31,State-gov,132652,HS-grad,9,Divorced,Craft-repair,Own-child,White,Male,United-States,0
10308,28,Private,132652,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,0
12840,24,Private,132652,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,0
7479,32,Private,132652,11th,7,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
347,23,Private,132652,Some-college,10,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
788,33,Private,132652,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,United-States,0
10029,30,Private,132652,HS-grad,9,Never-married,Craft-repair,Other-relative,White,Male,United-States,0
7055,19,Private,132652,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,0
15423,30,Private,132652,Some-college,10,Divorced,Adm-clerical,Own-child,White,Female,United-States,0
13497,34,Private,132652,Some-college,10,Widowed,Adm-clerical,Not-in-family,White,Female,United-States,0
14186,21,Private,132652,Some-college,10,Never-married,Other-service,Unmarried,Black,Female,United-States,0
6315,24,Private,132652,Some-college,10,Never-married,?,Unmarried,Black,Female,United-States,0
4412,31,Private,132652,Bachelors,9,Married-civ-spouse,Sales,Husband,White,Male,United-States,1
15900,33,Private,132652,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Female,United-States,0
3516,34,Federal-gov,132652,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,United-States,0
16350,20,Private,132652,Assoc-voc,11,Widowed,Machine-op-inspct,Not-in-family,White,Female,United-States,0
3771,33,Private,132652,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,0
5180,19,Private,132652,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,United-States,0
13214,24,State-gov,132652,Some-college,10,Never-married,Other-service,Unmarried,White,Female,United-States,0
205,37,Self-emp-not-inc,132652,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,United-States,0
